,מספר זיהוי,שם מעיין,שם מעיין באנגלית,תחילת תצפית,X נ.צ נביעה,Y נ.צ נביעה,רום הנביעה,מקום מדידה,שם אקויפר,קוד אקויפר,שם תא דיווח,קוד תא דיווח
1,2240,פקיעין,PEQI'IN,1974,231800,764600,695,נמדד באופן סדיר,קנומן תחתון,500,ראש המבוע,352
2,2245,טיריה,TYRYA,1980,230550,765770,510,מעיין סקר,קנומן - טורון,400,ראש המבוע,352
3,2250,זיו,ZIW,1949,225840,771410,320,נמדד באופן סדיר,קנומן - טורון,400,ראש המבוע,352
4,2260,טמיר,TAMIR,1949,223650,771800,245,נמדד באופן סדיר,קנומן - טורון,400,ראש המבוע,352
5,2605,אל ברניה 1,EL BARNIYA,0,231570,764980,591,מעיין סקר,קנומן תחתון,500,ראש המבוע,352
6,2610,"רשב""י",RASHBEE,0,231570,764980,591,מעיין סקר,קנומן תחתון,500,ראש המבוע,352
7,2620,חותם,HOTEM,0,232480,767690,621,מעיין סקר,קנומן - טורון,400,בנימינה,214
8,2622,זבול 2,ZEVUL 2,0,232640,767920,601,מעיין סקר,קנומן תחתון,500,ראש המבוע,352
9,5230,יפעם,YEF'AM,2011,222460,763189,245,לא נמדד,קנומן - טורון,400,נעמן,360
10,7325,רמה,RAMA,1974,234250,760350,370,מעיין סקר,קנומן תחתון,500,מגד כרמים,362
11,7610,צבר (ע''י כפר רמה),ZAVAR (NEAR KEFAR RA,0,234330,760300,370,מעיין סקר,קנומן תחתון,500,מגד כרמים,362
12,7615,שזור 1,SHEZOR 1,0,232850,760950,366,מעיין סקר,קנומן - טורון,400,מגד כרמים,362
13,8210,ג'נין,JENIN,1967,228620,707600,145,לא נמדד,איאוקן,300,פריעה עליון,642
14,8220,בורקין,BURQIN,1945,225120,707350,195,לא נמדד,איאוקן,300,ג'נין,640
15,8230,תל קודש,TEL KODESH,0,220700,718400,78,מעיין סקר,ניאוגן - מילוי,200,עמק יזרעאל,380
16,8240,קיני,QENI,1945,216900,719900,152,נמדד באופן סדיר,איאוקן,300,משמר העמק,161
17,8245,היוגב (מגידו אורז ני,HAYOGEV (MEGIDDO ORE,1945,217535,721717,75,נמדד באופן סדיר,איאוקן,300,משמר העמק,161
